Summer,,,,,,,,,,,
day minimum temperature,daily maximum temperature,daily maximum temperature,average relative humidity,average wind speed,"daily rainfall,",sunshine hours,"average
surface temperature",average air pressure,,,
266,362,311,69,49,0,112,336,10070,,,
265,340,302,74,49,0,106,333,10075,,,
257,339,293,81,39,0,77,334,10072,,,
244,302,268,92,45,249,2,272,10063,,,
248,329,286,86,43,0,73,290,10064,,,
258,346,291,81,32,0,113,301,10053,,,
250,335,290,80,30,0,73,298,10037,,,
265,346,299,84,44,0,28,297,10037,,,
270,323,291,86,65,16,23,291,10016,,,
262,284,270,98,115,554,0,266,9910,,,
262,299,274,87,57,234,13,263,9884,,,
255,325,289,69,38,0,108,279,9971,,,¡£
245,339,286,77,11,0,69,294,10004,,,
256,334,294,79,20,0,90,304,10000,,,
249,318,278,77,27,0,76,291,9985,,,
244,336,290,74,20,0,81,301,9994,,,
248,367,299,74,25,0,92,306,10022,,,
222,304,263,81,40,82,53,275,10063,,,
238,314,265,79,34,0,102,271,10082,,,
221,315,263,80,25,0,83,275,10080,,,
226,312,267,81,24,0,105,284,10067,,,
234,321,272,81,18,0,76,295,10083,,,
248,325,276,80,21,0,33,292,10099,,,
230,315,271,78,25,0,23,304,10104,,,
254,324,280,90,37,38,24,287,10092,,,
260,341,290,92,25,0,14,319,10063,,,
275,324,290,93,17,5,7,307,10062,,,
240,280,255,95,22,133,0,271,10080,,,
219,263,235,89,21,72,0,244,10087,,,
198,293,222,96,17,347,29,230,10110,,,
216,300,252,79,28,0,63,267,10133,,,
194,239,206,96,26,121,0,213,10150,,,
203,228,213,100,17,353,0,223,10149,,,
212,263,235,94,12,56,0,251,10120,,,
213,237,223,100,12,289,0,238,10107,,,
223,285,237,100,28,270,0,250,10080,,,
233,290,253,92,44,172,24,262,10029,,,
234,300,255,82,28,0,69,269,10024,,,
205,313,252,83,17,0,88,262,10064,,,
224,287,244,95,24,6,11,253,10061,,,
238,313,266,89,22,13,74,288,10102,,,
244,309,266,89,31,0,36,278,10144,,,
226,313,259,84,25,0,76,274,10132,,,
217,324,266,84,22,0,75,281,10106,,,
231,316,268,83,23,0,43,278,10116,,,
229,287,249,77,33,0,77,264,10117,,,
199,289,242,74,32,0,100,266,10121,,,
202,297,243,80,32,0,87,266,10142,,,
205,288,239,71,42,0,106,274,10184,,,
174,265,212,72,33,0,81,238,10184,,,
169,272,216,72,31,0,92,253,10146,,,
,,,,,,,,,,,
Winter,,,,,,,,,,,
day minimum temperature,daily maximum temperature,daily maximum temperature,average relative humidity,average wind speed,"daily rainfall,",sunshine hours,"average
surface temperature",average air pressure,,,
24,97,53,68,27,0,89,66,10290,,,
-9,99,41,71,15,0,86,46,10295,,,
6,123,55,66,17,0,92,60,10309,,,
-4,128,61,72,21,0,57,55,10341,,,
25,96,59,71,34,2,92,70,10359,,,
-11,100,37,74,13,0,89,43,10325,,,
-11,119,48,70,10,0,87,49,10293,,,
31,162,85,64,19,0,86,75,10229,,,
53,182,109,64,20,0,85,94,10190,,,
58,139,96,67,25,0,64,84,10218,,,
8,128,63,77,18,0,79,67,10284,,,
54,161,98,69,29,0,87,88,10248,,,
50,137,92,81,33,0,7,88,10274,,,
67,162,114,79,45,0,31,111,10244,,,
112,207,150,86,29,0,80,140,10171,,,
79,157,113,93,36,24,0,112,10196,,,
37,85,66,82,36,28,0,72,10277,,,
29,81,52,82,19,31,8,63,10288,,,
15,85,48,83,24,0,0,42,10294,,,
53,88,76,91,24,59,0,76,10243,,,
76,122,93,94,20,140,3,101,10197,,,
59,127,94,86,24,0,20,96,10226,,,
78,118,93,89,27,58,0,103,10246,,,
88,121,105,94,31,130,0,104,10187,,,
44,116,75,91,40,41,0,78,10216,,,
13,82,36,74,19,0,80,52,10278,,,
-9,118,61,71,25,0,70,57,10251,,,
89,115,97,95,12,55,0,91,10204,,,
27,127,70,85,39,0,47,69,10274,,,
-21,66,12,64,31,0,30,32,10382,,,
-27,82,28,75,15,0,60,46,10326,,,
53,99,78,92,10,1,0,74,10285,,,
79,91,86,97,26,6,0,87,10271,,,
69,101,79,87,16,0,0,84,10267,,,
48,113,88,88,35,1,0,76,10258,,,
112,175,143,88,31,0,3,140,10184,,,
67,130,94,95,32,21,0,98,10143,,,
30,75,48,69,34,0,64,71,10267,,,
20,50,38,90,23,51,0,53,10263,,,
49,74,61,97,22,70,0,64,10225,,,
51,73,57,92,22,50,0,65,10216,,,
13,71,40,78,23,0,52,54,10237,,,
-20,60,20,90,7,0,0,37,10243,,,
13,76,34,81,16,0,22,40,10271,,,
-20,71,24,83,28,22,7,27,10276,,,
39,60,46,95,31,85,0,49,10258,,,
29,73,45,80,29,0,10,53,10266,,,
29,53,40,70,16,0,0,48,10258,,,
11,89,50,68,16,0,73,63,10240,,,
17,102,51,78,15,0,51,56,10256,,,
-17,114,49,87,20,10,31,46,10261,,,
79,90,85,99,10,70,0,85,10200,,,
78,104,85,90,31,3,0,87,10237,,,
70,89,79,87,40,7,0,75,10289,,,
59,75,66,93,40,28,0,64,10279,,,
58,82,70,93,48,87,0,69,10230,,,
49,67,53,93,36,86,0,56,10202,,,
25,64,43,85,30,0,0,55,10222,,,
36,78,52,68,31,0,37,56,10226,,,
7,64,34,62,31,0,87,48,10228,,,
-9,91,32,61,25,0,99,50,10254,,,
-13,126,49,63,11,0,98,64,10268,,,
9,137,64,71,17,0,79,77,10257,,,
33,103,61,82,27,0,45,74,10279,,,
-8,126,48,75,13,0,93,61,10262,,,
1,93,38,85,32,0,23,41,10303,,,
16,68,50,74,38,1,0,48,10309,,,
38,86,57,88,23,24,0,63,10295,,,
33,82,56,85,14,0,0,58,10312,,,
-10,113,48,80,13,0,89,56,10294,,,
19,162,87,69,24,0,84,81,10245,,,
83,110,100,88,33,33,0,91,10210,,,
83,138,101,91,22,0,38,117,10181,,,
59,150,102,94,43,0,0,98,10167,,,
115,161,134,98,34,105,0,140,10157,,,
12,130,78,97,40,73,0,87,10202,,,
-13,46,11,66,49,54,87,35,10274,,,
-5,78,31,47,48,0,104,32,10298,,,
-6,103,36,57,19,0,104,60,10311,,,
4,120,62,70,27,0,61,66,10274,,,
23,158,86,79,23,0,100,97,10304,,,
,,,,,,,,,,,
Spring&Fall,,,,,,,,,,,
day minimum temperature,daily maximum temperature,daily maximum temperature,average relative humidity,average wind speed,"daily rainfall,",sunshine hours,"average
surface temperature",average air pressure,,,
186,244,209,80,49,0,1,213,10124,,,
188,237,207,85,48,52,0,199,10118,,,
172,273,214,74,23,0,93,225,10181,,,
169,286,221,69,19,0,80,251,10194,,,
177,288,224,75,14,0,47,257,10196,,,
179,291,225,77,24,0,41,262,10209,,,
191,262,222,81,21,0,42,265,10206,,,
187,286,227,83,16,0,78,256,10181,,,
185,283,220,87,16,0,63,258,10169,,,
178,295,228,85,28,0,79,267,10154,,,
202,259,233,92,48,108,0,231,10115,,,
218,271,232,94,34,147,25,242,10085,,,
197,302,244,83,19,0,62,245,10120,,,
200,303,243,86,21,0,53,252,10129,,,
185,231,200,88,43,48,0,198,10192,,,
161,243,195,75,21,0,21,208,10212,,,
170,206,190,84,20,0,0,192,10193,,,
146,211,170,85,22,0,14,182,10219,,,
149,254,195,77,26,0,43,199,10190,,,
169,274,222,75,22,0,42,221,10136,,,
204,232,210,91,15,0,0,210,10134,,,
188,254,213,83,27,1,40,230,10154,,,
189,253,214,78,19,0,31,228,10193,,,
161,221,186,84,54,12,4,183,10263,,,
118,190,149,66,33,0,63,167,10297,,,
123,208,158,70,25,0,31,171,10256,,,
144,223,174,77,24,0,58,198,10231,,,
139,225,173,76,30,0,32,186,10217,,,
124,234,168,78,15,0,87,194,10224,,,
117,247,175,79,17,0,94,202,10210,,,
125,238,171,81,14,0,78,197,10179,,,
122,236,175,81,19,0,38,189,10162,,,
161,239,185,80,20,0,37,199,10166,,,
143,242,181,81,22,0,81,199,10189,,,
137,224,173,87,18,0,21,178,10210,,,
140,180,155,70,28,0,10,171,10230,,,
98,179,134,72,12,0,5,156,10206,,,
98,207,152,73,12,0,53,168,10168,,,
127,220,160,61,20,0,85,171,10193,,,
91,231,157,65,14,0,85,175,10219,,,
124,249,174,63,14,0,93,188,10213,,,
111,255,176,70,11,0,79,189,10220,,,
118,243,171,81,14,0,69,206,10195,,,
151,243,178,75,24,0,73,200,10198,,,
130,206,157,84,21,0,46,171,10230,,,
101,205,140,74,21,0,89,168,10214,,,
83,207,148,75,15,0,55,163,10178,,,
140,207,163,77,27,0,19,184,10198,,,
98,188,132,71,26,0,98,159,10239,,,
64,198,126,69,17,0,97,151,10234,,,
101,215,154,58,48,0,65,148,10146,,,
121,228,163,39,16,0,97,170,10165,,,
104,201,159,74,35,0,0,156,10187,,,
155,207,172,67,27,1,16,179,10206,,,
67,174,124,57,21,0,95,158,10248,,,
86,218,145,61,30,0,96,164,10182,,,
109,247,175,70,21,0,82,193,10153,,,
155,221,185,81,18,3,4,186,10141,,,
69,187,98,72,37,53,1,106,10262,,,
31,129,67,59,23,0,94,93,10296,,,
32,169,96,68,23,0,94,109,10297,,,
78,179,124,80,18,0,20,135,10261,,,
94,211,144,94,19,0,21,149,10218,,,
147,218,182,94,31,0,6,184,10191,,,
114,199,161,95,32,43,0,164,10217,,,
62,114,82,75,46,6,0,81,10330,,,
35,120,76,73,22,1,29,87,10300,,,
70,91,74,95,32,157,0,83,10297,,,
47,94,73,70,39,12,15,79,10330,,,
54,107,69,76,26,0,2,72,10319,,,
46,117,87,97,21,37,0,88,10263,,,
63,106,83,96,37,102,0,90,10227,,,
45,154,97,81,27,0,25,90,10283,,,
55,162,98,67,26,0,92,107,10312,,,
22,152,84,68,38,0,94,92,10286,,,
84,225,150,67,41,0,58,138,10182,,,
96,185,141,89,23,7,0,135,10157,,,
79,100,88,82,42,0,0,92,10257,,,
29,120,74,82,33,0,85,100,10278,,,
74,99,89,94,28,57,0,90,10182,,,
75,108,87,93,22,40,0,98,10172,,,
77,104,87,97,34,8,0,97,10202,,,
32,113,70,77,29,0,59,99,10263,,,
61,118,84,71,21,0,7,100,10242,,,
51,114,78,73,27,0,41,98,10273,,,
8,111,58,64,16,0,107,89,10277,,,
21,147,86,71,38,0,74,96,10191,,,
95,177,117,85,17,8,34,148,10153,,,
75,166,109,82,49,0,54,122,10157,,,
102,128,116,98,39,57,0,122,10084,,,
78,123,91,82,45,38,18,104,10178,,,
55,160,105,68,18,0,78,124,10212,,,
70,181,123,77,43,0,74,129,10183,,,
77,137,106,95,27,8,0,114,10213,,,
36,142,93,66,30,0,107,122,10223,,,
86,198,134,46,28,0,110,127,10188,,,
52,167,116,57,36,0,78,129,10235,,,
85,229,154,54,26,0,107,161,10179,,,
104,245,181,46,19,0,108,175,10132,,,
105,193,140,46,49,0,109,163,10149,,,
60,220,140,47,49,0,113,157,10152,,,
112,279,194,57,33,0,87,207,10104,,,
109,210,150,72,46,0,50,181,10149,,,
72,181,118,61,18,0,66,149,10208,,,
48,206,132,57,40,0,105,156,10192,,,
115,227,164,69,43,11,31,175,10132,,,
167,198,179,99,19,247,0,175,10104,,,
86,183,102,72,62,26,24,122,10204,,,
25,103,66,83,23,158,16,82,10248,,,
