data/time,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
2019.08.01,195.048,172.464,172.752,167.52,154.764,146.7,142.62,142.572,143.388,146.184,144.948,147.756,143.4,137.088,135.612,136.368,136.38,130.8,131.712,129.984,123.12,131.088,135.156,148.332,150.9,163.86,147.756,143.676,129.492,134.28,126.408,131.712,124.236,143.376,136.548,134.784,147.348,150.732,150.84,144.684,141.984,154.38,152.196,165.768,171.948,192.084,203.22,205.836,223.884,228.084,231.348,223.368,215.172,226.248,217.944,201.744,195.372,185.784,188.388,186.876,177.684,174.24,170.304,173.688,165.336,169.524,182.592,197.88,190.896,190.92,201.264,197.904,205.008,198.048,204.672,212.52,214.872,230.316,226.752,228.492,223.644,229.92,217.044,250.692,228,243.576,238.512,240.912,235.488,222.924,224.328,216.516,217.536,200.376,204.036,194.652
2019.08.02,193.272,176.46,190.56,167.556,155.832,163.068,144.732,148.872,133.32,140.064,129.732,133.668,130.848,134.496,130.548,128.364,135,136.98,129.948,130.344,132.648,130.488,147.744,133.908,137.22,148.02,138.78,135.924,136.212,120.516,123.9,124.992,111.744,126.036,122.88,124.476,133.716,138.168,141.636,144.336,149.472,161.532,172.404,168.516,173.592,194.916,189.972,185.712,202.092,212.256,204.936,197.364,199.188,217.896,202.728,199.332,192.972,196.344,187.884,169.296,191.7,187.236,178.56,170.16,180.828,171.42,175.452,200.964,171.468,175.392,203.1,187.212,177.216,186.792,191.904,194.328,197.22,200.376,213.792,219.636,213.036,217.428,205.824,211.38,236.976,223.836,218.064,216.696,217.212,208.632,196.872,197.82,180.048,167.784,167.196,162.948
2019.08.03,178.788,170.424,168.276,160.728,148.992,135.3,134.292,125.544,126.324,126.792,122.46,126.456,130.776,120.396,116.736,117.54,115.632,116.088,121.296,119.832,120.684,102.708,118.368,129.516,123.204,109.524,115.08,111.024,117.744,111.54,106.488,118.068,118.044,116.532,114.3,125.052,139.512,147.996,140.004,135.804,146.496,150.276,158.88,167.82,158.34,181.944,186.948,164.364,183.792,183.708,169.908,182.484,176.076,212.928,196.368,197.928,176.088,162.204,188.4,168.936,160.356,159.744,178.524,160.068,183.78,176.364,162.48,156.06,169.212,174.636,163.464,172.68,171.372,167.112,171.024,180.924,176.952,179.784,186.132,175.092,182.952,187.872,211.872,200.472,201.132,197.208,205.8,213.792,210.036,199.08,176.232,165.912,169.356,180.072,167.916,151.008
2019.08.04,151.656,143.28,134.16,135.636,129.876,118.752,107.4,110.364,102.612,106.224,108.768,104.34,113.748,101.58,91.5,88.236,95.856,88.512,96.216,95.232,102.588,86.508,103.368,97.668,97.848,88.896,96.564,86.304,89.676,96.444,93.696,97.092,100.896,105.636,118.296,94.392,101.916,105.204,105.54,101.82,102.84,118.416,126.912,138.636,143.208,147.48,140.592,144.012,152.436,142.68,153.168,141.396,135.804,141.264,127.404,127.188,127.644,124.62,125.244,114.924,122.232,124.584,121.632,101.532,105.792,114.444,128.868,107.7,121.656,147.432,124.812,129.9,124.284,138.528,120.924,129.312,134.916,137.28,152.16,150.24,145.248,143.808,137.796,129.144,137.076,145.176,152.1,152.82,149.292,144.48,133.836,125.268,125.496,105.012,107.76,101.328
2019.08.05,82.896,95.916,86.832,89.868,103.728,85.272,82.176,74.244,76.044,78.576,83.208,73.452,78.36,68.376,74.04,78.42,76.296,72.048,59.628,62.208,82.728,77.352,73.86,88.284,111.672,94.068,90.54,80.16,83.868,80.136,83.508,77.232,75.288,88.248,85.224,93.264,96.624,101.112,109.824,109.524,124.248,122.472,128.604,119.052,122.484,134.904,155.676,152.736,175.704,175.932,175.416,175.632,170.448,203.16,153.54,169.716,161.232,159.216,140.592,150.588,153.756,154.848,150.72,142.272,143.544,146.832,147.72,162.972,147.348,152.376,156.924,146.376,164.544,158.1,166.56,165.78,172.104,168.684,157.812,186.048,176.232,167.736,172.512,179.484,176.016,192.084,225.132,238.752,206.304,176.292,201.636,164.568,162.372,145.296,146.172,132.96
2019.08.06,127.404,119.88,124.728,115.296,115.992,107.112,110.244,111.492,101.952,98.028,109.896,93.084,91.368,105.324,90.456,89.004,101.832,89.16,88.812,91.296,93.66,82.308,88.236,102.504,101.976,104.988,109.668,94.536,98.448,103.704,92.724,96.072,97.764,90.408,97.116,101.484,119.124,131.928,141.792,131.484,129.336,142.356,154.152,142.572,136.224,141.624,159.444,177.696,166.74,168.096,182.628,171.144,162.132,166.248,168.228,167.916,170.532,168.936,189.312,182.196,153.24,173.4,170.004,172.056,158.532,162.516,169.464,155.28,163.248,160.404,165.636,167.508,167.556,157.716,162.108,177.588,162.06,162.288,177.636,180.888,164.028,171.072,196.584,194.052,212.712,201.996,207.072,186.888,180.18,178.644,174.78,180.528,154.404,142.884,172.308,143.052
2019.08.07,137.58,128.172,138.06,117.516,126.768,118.428,127.536,108.36,108.072,92.532,97.896,100.788,105.552,95.388,95.388,91.476,92.34,94.704,91.104,85.164,84.744,81.48,96.012,88.38,110.688,97.98,112.332,97.848,103.716,90.756,86.964,101.748,84.684,92.544,103.272,112.476,107.184,121.296,125.064,127.452,122.868,122.736,126.156,119.208,125.928,144.144,158.904,168.24,181.164,169.392,182.112,184.908,162.132,171.792,181.548,161.472,165,177.252,158.136,167.136,138.516,141.12,133.788,157.512,166.416,145.116,160.416,157.908,158.28,160.776,165.192,169.848,156.804,157.548,169.2,188.4,171.96,194.52,209.328,180.36,200.112,201.432,187.344,185.484,199.236,188.544,186.912,205.212,204.336,175.452,178.956,174.288,165.48,151.38,149.196,162.744
2019.08.08,145.896,157.968,148.836,134.112,139.668,130.2,111.132,110.028,118.824,106.188,101.04,106.752,97.86,105.96,104.472,112.608,104.112,102.468,99.876,101.76,117.312,94.092,99.744,102.432,110.748,117.048,105.9,107.628,111.036,103.644,97.08,105.048,101.064,111.048,119.376,124.572,130.464,124.404,117.516,122.256,128.22,125.268,142.188,132.144,130.68,143.88,163.056,179.532,195.168,194.616,181.116,193.848,186.012,167.04,173.832,169.572,155.544,166.632,163.74,168.408,167.256,149.796,161.892,158.748,166.836,155.088,170.796,151.62,163.08,163.296,159.816,156.84,183.828,173.988,167.988,184.152,181.848,188.004,187.104,202.416,204.072,210.228,212.556,231.876,214.896,219.528,224.976,234.252,200.952,191.508,214.008,190.404,195.624,176.532,171.912,148.92
2019.08.09,155.208,135.012,137.796,129.408,131.832,126.228,123.84,116.268,123.564,120.492,115.152,107.748,107.688,103.272,116.268,113.664,110.28,96.012,97.836,103.092,101.508,90.96,100.236,103.152,119.64,109.548,113.1,114.588,120.708,102.888,109.524,108.12,104.016,97.656,114.624,117.12,99.852,112.548,116.232,115.872,125.244,131.736,122.94,141.564,145.596,136.284,151.608,155.724,164.34,175.14,174.06,163.296,169.548,176.304,178.692,185.82,191.604,182.808,151.2,157.008,156.912,153.852,143.364,153.972,155.052,154.14,155.568,169.848,159.78,151.716,166.224,179.412,168.264,153.768,182.232,164.616,152.952,181.056,178.764,176.256,175.512,178.644,187.92,195.48,173.34,170.472,181.32,165.948,164.412,182.136,166.968,163.752,163.188,155.04,143.436,144.228
2019.08.10,129.24,120.504,115.632,120.96,120.456,109.908,107.904,108.984,101.652,103.896,104.7,94.332,112.716,99.96,93.636,92.964,87.864,83.496,93.348,87.24,95.748,88.476,100.524,85.356,90.132,96.288,104.436,86.82,79.716,84.492,78.276,86.184,78.384,76.068,82.716,78.24,83.928,78.456,73.632,81.792,84.372,91.224,89.772,105.972,91.332,92.964,89.976,100.356,95.976,103.968,104.124,110.124,109.668,147.78,138.348,121.74,112.704,105.096,111.876,105.96,96.54,102.876,107.556,96.504,100.224,104.508,124.68,96.336,117.66,118.236,131.664,121.8,122.892,139.188,125.436,129.612,147.264,131.628,130.056,156.888,143.904,143.688,133.896,146.772,143.7,145.344,145.02,139.8,136.596,125.04,115.392,132.528,128.664,119.196,120.972,104.568
2019.08.11,101.928,117.492,89.784,88.02,80.112,74.496,77.532,79.56,79.596,70.176,74.856,77.904,68.784,70.572,70.86,77.688,74.46,77.88,71.856,65.328,68.928,71.664,66.204,72.996,75.78,74.652,88.62,77.484,65.568,71.016,53.676,69.492,83.124,69.24,67.5,63.984,66.324,73.704,75.72,75.156,81.96,80.64,85.104,85.884,89.232,80.808,85.704,115.128,101.232,101.424,90.204,105.096,88.032,112.548,94.872,89.376,102.264,87.024,84.36,95.628,91.56,87.168,85.92,84.636,104.124,99.048,103.668,100.056,118.8,112.644,108.96,109.824,106.644,120.564,115.416,132.528,115.2,117.384,117.744,124.692,121.752,129.528,148.344,153.828,137.328,147.288,126.432,119.292,120.852,122.616,114.828,111.312,104.724,99.12,86.904,85.44
2019.08.12,87.996,81.336,68.16,62.94,72.12,69.156,76.104,76.596,75.336,71.34,69.66,64.944,63.396,56.82,63.84,58.2,65.004,63.504,67.176,66.684,72.6,66.204,64.572,89.508,90.96,92.604,72.396,69.456,83.424,69.036,75.528,65.964,66.48,66.228,69.948,68.376,72.648,68.448,78.528,89.76,81.096,86.88,107.592,95.88,98.772,111.48,112.584,106.056,141.504,150.228,142.224,143.448,122.82,124.944,132.168,117.588,119.076,130.212,132.276,125.28,108.912,107.688,115.404,125.076,119.76,111.516,122.256,132.78,116.316,133.188,133.896,130.284,128.496,144.768,141.552,143.76,138.552,139.908,139.008,157.704,168.108,151.476,176.472,168.072,203.148,174.672,176.112,167.508,168.036,152.796,168.84,153.384,140.088,130.344,121.26,112.956
2019.08.13,112.44,109.704,105.456,91.86,90.708,92.964,89.472,87.852,83.724,72.18,73.128,77.424,78.684,74.976,73.32,77.04,76.74,64.104,72.888,76.656,72.168,78.396,82.296,85.992,90.636,80.148,89.112,99.252,85.62,74.772,76.824,88.848,85.956,81.564,83.808,92.544,84.864,92.82,105.204,104.832,104.328,100.188,102.924,123.72,120.696,125.328,119.844,137.676,137.34,141.54,139.104,142.584,148.548,149.004,135.456,142.248,138.348,111.804,132.372,115.944,149.436,123.24,124.404,124.788,122.58,116.856,139.74,123.876,135.408,141.684,157.404,160.272,154.044,159.756,153.876,165.204,155.208,161.7,163.224,179.736,186.3,177.72,177.732,188.664,188.196,194.184,186.564,207.432,196.032,185.232,172.668,152.376,159.84,163.092,140.46,125.916
2019.08.14,135.492,121.188,130.512,100.92,119.304,101.196,99.72,111.084,106.704,102.816,91.92,93.708,94.152,94.512,88.08,96.324,85.92,83.832,89.7,89.568,97.236,93.528,84.084,95.64,97.116,109.8,106.452,104.748,104.064,107.64,111.9,109.092,99.972,97.164,101.556,109.2,122.688,128.352,123.504,134.172,139.116,137.952,135.864,140.58,133.344,146.616,150.996,164.256,180.66,183.768,173.46,183.012,197.364,196.596,166.284,164.244,160.56,146.448,152.076,157.26,149.676,143.496,144.84,152.772,150.876,147.576,139.392,137.64,152.868,148.8,151.728,152.844,159.228,162.996,162.732,156.324,173.808,170.58,184.248,213.84,185.736,184.188,185.184,201.372,194.712,193.656,176.58,173.268,181.404,167.736,155.064,155.376,160.704,163.116,147.42,134.52
2019.08.15,144.42,127.5,126.948,115.176,118.356,113.376,106.356,110.184,114.372,98.916,98.928,91.152,93.708,97.848,96.18,91.296,84.348,89.304,95.028,87.624,95.844,99.408,101.532,91.092,82.632,97.164,107.124,82.488,88.164,82.488,81.348,85.188,79.692,78.588,100.5,90.108,92.052,87.78,98.4,109.092,115.98,100.176,97.296,99.396,120.6,118.188,119.46,123.264,133.824,135.924,141.108,145.908,157.56,144.504,135.78,137.268,133.812,129.108,118.212,113.388,110.916,134.592,134.724,139.272,130.668,138.264,139.452,123.528,120.492,117,124.812,139.248,142.8,149.64,151.356,144.696,144.768,152.424,163.764,165.252,159.504,156.828,159.444,177.84,175.944,160.02,177.804,171.552,162.072,162.996,172.992,162.228,143.088,133.224,129.264,111.06
2019.08.16,114.6,110.028,117.444,109.392,110.256,102.936,101.532,93.276,90.852,96.612,95.688,90.972,90.168,95.688,86.58,86.28,85.704,88.548,87.684,87.336,90.804,89.568,103.116,112.332,96.024,112.752,107.928,99.468,104.724,99.792,111.3,98.472,95.1,96.192,97.98,92.952,106.428,111.144,111.06,114.408,114.168,116.088,121.308,121.296,116.088,122.052,137.784,152.412,153.984,168.852,175.692,171.12,173.724,157.032,157.572,135.96,157.308,170.352,162.54,157.788,137.7,136.032,135.288,131.268,157.752,149.328,139.596,155.496,145.776,145.764,153.228,152.916,165.924,167.04,165.096,154.824,161.628,180.492,169.224,199.404,188.484,181.104,179.04,202.992,185.544,202.272,204.48,198.624,188.46,196.404,185.436,194.34,165.588,154.644,153.648,135.432
2019.08.17,146.064,140.52,126.78,129.036,117.528,128.436,130.68,116.568,112.464,124.428,120.54,109.644,100.776,107.016,113.544,96.528,112.968,102.744,95.904,89.16,103.716,99.18,86.16,87.612,107.472,96.336,102.264,116.64,106.932,120.576,110.424,115.992,122.4,114.756,124.224,124.272,135.42,135.384,131.052,133.98,139.752,159.324,157.836,169.26,155.76,177.324,183.456,199.02,206.472,191.94,215.148,215.22,207.816,202.668,216.06,212.712,207.828,188.124,184.152,178.62,170.064,189.24,199.296,175.872,169.488,171.756,169.44,160.776,159.336,169.512,182.952,153.792,164.088,163.032,155.556,161.448,156.264,172.704,159.732,157.92,181.548,176.496,186.216,189.084,193.92,194.964,199.056,202.668,167.34,170.352,166.188,175.524,147.876,137.664,136.536,132.084
2019.08.18,134.268,126.708,124.272,111.972,109.032,109.476,111.348,99.42,91.344,94.8,84.492,87.696,83.328,93.66,81.096,77.244,84.768,83.016,85.872,90.588,84.636,73.092,76.464,69.6,81.936,79.356,78.036,84.816,86.724,86.232,98.052,88.344,91.548,93.324,108.276,90.012,94.728,93.42,91.44,95.76,92.112,92.112,89.076,99.48,87,95.628,104.508,103.992,119.652,119.868,115.932,122.652,123.3,120.888,112.38,118.38,152.772,113.892,116.232,131.58,136.584,128.352,109.944,135.012,133.032,129.888,118.752,121.824,122.304,129.024,137.388,131.82,117.132,115.32,125.82,133.5,137.184,129.516,145.5,156.888,144.72,140.82,161.244,143.724,157.008,151.452,163.62,173.748,156.828,143.964,160.944,156,149.616,142.944,113.184,115.428
2019.08.19,103.404,104.58,94.044,89.88,86.964,92.472,88.344,78.408,70.74,70.968,74.508,71.148,85.212,70.224,59.52,66.696,68.316,69.744,73.956,70.848,79.692,74.496,74.316,69.912,87.912,101.952,96.228,74.508,84,66.36,94.92,76.872,72.492,73.116,67.284,72.6,73.188,84.84,71.976,78.912,82.764,82.44,84.324,92.7,93.24,107.676,116.58,108.684,108.408,112.8,122.148,127.02,114.288,109.128,114.468,104.04,124.884,112.356,108.228,118.848,115.272,110.484,117.948,106.572,95.712,107.76,118.74,122.712,111.636,119.736,117.948,129.708,127.2,119.244,115.788,111.564,131.016,123.084,136.416,139.572,135.048,121.068,148.248,139.86,154.62,132.288,154.224,138.06,138.156,154.368,134.772,116.46,105.072,107.04,99.12,100.86
2019.08.20,86.82,85.14,77.052,84.12,88.392,84.072,78.804,70.2,72.816,68.724,74.34,66.468,65.64,63.876,62.352,62.688,65.208,68.832,78.792,77.316,82.188,71.124,81.588,85.14,84.216,93.432,100.836,89.856,85.848,84.9,77.052,78.072,80.16,87.012,82.068,96.756,89.316,93.552,99.048,110.472,102.108,100.248,98.916,98.1,101.868,107.88,121.188,134.34,123.984,128.22,122.352,123.54,123.66,111.744,134.316,124.932,108.972,122.916,122.544,126.144,106.992,107.772,114.636,117.888,118.2,110.1,108.876,139.752,133.236,115.896,111.42,124.908,116.544,124.044,133.116,136.62,142.176,140.052,152.412,140.364,133.032,152.964,141.636,135.024,133.596,136.908,144.588,126.036,123.252,120.3,131.376,111.192,106.476,104.976,92.568,99.228
